@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
250,'2023/06/09 11:29:32:336',3,446,1023,0.5,0.5,0
251,'2023/06/09 11:29:32:337',3,446,1023,0.5,0.5,0
252,'2023/06/09 11:29:32:431',3,446,1023,0.5,0.5,0
253,'2023/06/09 11:29:32:431',3,446,1023,0.5,0.5,0
254,'2023/06/09 11:29:32:453',3,447,1023,0.5,0.5,0
255,'2023/06/09 11:29:32:453',3,447,1023,0.5,0.5,0
256,'2023/06/09 11:29:32:471',3,446,1023,0.5,0.5,0
257,'2023/06/09 11:29:32:565',3,446,1023,0.5,0.5,0
258,'2023/06/09 11:29:32:566',3,446,1023,0.5,0.5,0
259,'2023/06/09 11:29:32:586',3,446,1023,0.5,0.5,0
260,'2023/06/09 11:29:32:587',3,446,1023,0.5,0.5,0
261,'2023/06/09 11:29:32:680',3,447,1023,0.5,0.5,0
262,'2023/06/09 11:29:32:681',3,447,1023,0.5,0.5,0
263,'2023/06/09 11:29:32:722',3,446,1023,0.5,0.5,0
264,'2023/06/09 11:29:32:722',3,446,1023,0.5,0.5,0
265,'2023/06/09 11:29:32:742',3,446,1023,0.5,0.5,0
266,'2023/06/09 11:29:32:742',3,446,1023,0.5,0.5,0
267,'2023/06/09 11:29:32:815',3,447,1023,0.5,0.5,0
268,'2023/06/09 11:29:32:816',3,447,1023,0.5,0.5,0
269,'2023/06/09 11:29:32:836',3,446,1023,0.5,0.5,0
270,'2023/06/09 11:29:32:837',3,446,1023,0.5,0.5,0
271,'2023/06/09 11:29:32:856',3,446,1023,0.5,0.5,0
272,'2023/06/09 11:29:32:856',3,446,1023,0.5,0.5,0
273,'2023/06/09 11:29:32:879',3,446,1023,0.5,0.5,0
274,'2023/06/09 11:29:32:880',3,446,1023,0.5,0.5,0
275,'2023/06/09 11:29:32:950',3,446,1023,0.5,0.5,0
276,'2023/06/09 11:29:32:951',3,446,1023,0.5,0.5,0
277,'2023/06/09 11:29:32:973',3,446,1023,0.5,0.5,0
278,'2023/06/09 11:29:32:974',3,446,1023,0.5,0.5,0
279,'2023/06/09 11:29:32:991',3,446,1023,0.5,0.5,0
280,'2023/06/09 11:29:32:995',3,446,1023,0.5,0.5,0
281,'2023/06/09 11:29:33:086',3,446,1023,0.5,0.5,0
282,'2023/06/09 11:29:33:086',3,446,1023,0.5,0.5,0
283,'2023/06/09 11:29:33:106',3,446,1023,0.5,0.5,0
284,'2023/06/09 11:29:33:107',3,446,1023,0.5,0.5,0
285,'2023/06/09 11:29:33:131',3,447,1023,0.5,0.5,0
286,'2023/06/09 11:29:33:220',3,446,1023,0.5,0.5,0
287,'2023/06/09 11:29:33:221',3,446,1023,0.5,0.5,0
288,'2023/06/09 11:29:33:241',3,447,1023,0.5,0.5,0
289,'2023/06/09 11:29:33:242',3,447,1023,0.5,0.5,0
290,'2023/06/09 11:29:33:262',3,446,1023,0.5,0.5,0
291,'2023/06/09 11:29:33:262',3,446,1023,0.5,0.5,0
292,'2023/06/09 11:29:33:356',3,446,1023,0.5,0.5,0
293,'2023/06/09 11:29:33:357',3,446,1023,0.5,0.5,0
294,'2023/06/09 11:29:33:377',3,446,1023,0.5,0.5,0
295,'2023/06/09 11:29:33:378',3,446,1023,0.5,0.5,0
296,'2023/06/09 11:29:33:399',3,446,1023,0.5,0.5,0
297,'2023/06/09 11:29:33:399',3,446,1023,0.5,0.5,0
298,'2023/06/09 11:29:33:492',3,446,1023,0.5,0.5,0
299,'2023/06/09 11:29:33:492',3,446,1023,0.5,0.5,0
300,'2023/06/09 11:29:33:512',3,446,1023,0.5,0.5,0
301,'2023/06/09 11:29:33:513',3,446,1023,0.5,0.5,0
302,'2023/06/09 11:29:33:532',3,446,1023,0.5,0.5,0
303,'2023/06/09 11:29:33:533',3,446,1023,0.5,0.5,0
304,'2023/06/09 11:29:33:605',3,447,1023,0.5,0.5,0
305,'2023/06/09 11:29:33:606',3,447,1023,0.5,0.5,0
306,'2023/06/09 11:29:33:626',3,447,1023,0.5,0.5,0
307,'2023/06/09 11:29:33:627',3,447,1023,0.5,0.5,0
308,'2023/06/09 11:29:33:667',3,447,1023,0.5,0.5,0
309,'2023/06/09 11:29:33:668',3,447,1023,0.5,0.5,0
310,'2023/06/09 11:29:33:741',3,446,1023,0.5,0.5,0
311,'2023/06/09 11:29:33:742',3,446,1023,0.5,0.5,0
312,'2023/06/09 11:29:33:761',3,447,1023,0.5,0.5,0
313,'2023/06/09 11:29:33:762',3,447,1023,0.5,0.5,0
314,'2023/06/09 11:30:07:388',4,1023,0,0,0,1
315,'2023/06/09 11:30:07:388',4,1023,0,0,0,1
316,'2023/06/09 11:30:07:412',4,1023,0,0,0,1
317,'2023/06/09 11:30:07:413',4,1023,0,0,0,1
318,'2023/06/09 11:30:07:429',4,1023,0,0,0,1
319,'2023/06/09 11:30:07:437',4,1023,0,0,0,1
320,'2023/06/09 11:30:07:445',4,1023,0,0,0,1
321,'2023/06/09 11:30:07:654',4,1023,0,0,0,1
322,'2023/06/09 11:30:07:654',4,1023,0,0,0,1
323,'2023/06/09 11:30:07:678',4,1023,0,0,0,1
324,'2023/06/09 11:30:07:679',4,1023,0,0,0,1
325,'2023/06/09 11:30:07:695',4,1023,0,0,0,1
326,'2023/06/09 11:30:07:703',4,1023,0,0,0,1
327,'2023/06/09 11:30:07:711',4,1023,0,0,0,1
328,'2023/06/09 11:30:07:912',4,1023,0,0,0,1
329,'2023/06/09 11:30:07:913',4,1023,0,0,0,1
330,'2023/06/09 11:30:07:923',4,1023,0,0,0,1
331,'2023/06/09 11:30:07:945',4,1023,0,0,0,1
332,'2023/06/09 11:30:07:946',4,1023,0,0,0,1
333,'2023/06/09 11:30:07:961',4,1023,0,0,0,1
334,'2023/06/09 11:30:07:969',4,1023,0,0,0,1
335,'2023/06/09 11:30:07:977',4,1023,0,0,0,1
336,'2023/06/09 11:30:08:178',4,1023,0,0,0,1
337,'2023/06/09 11:30:08:179',4,1023,0,0,0,1
338,'2023/06/09 11:30:08:197',4,1023,0,0,0,1
339,'2023/06/09 11:30:08:203',4,1023,0,0,0,1
340,'2023/06/09 11:30:08:211',4,1023,0,0,0,1
341,'2023/06/09 11:30:08:219',4,1023,0,0,0,1
342,'2023/06/09 11:30:08:229',4,1023,0,0,0,1
343,'2023/06/09 11:30:08:444',4,1023,0,0,0,1
344,'2023/06/09 11:30:08:444',4,1023,0,0,0,1
345,'2023/06/09 11:30:08:469',4,1023,0,0,0,1
346,'2023/06/09 11:30:08:470',4,1023,0,0,0,1
347,'2023/06/09 11:30:08:481',4,1023,0,0,0,1
348,'2023/06/09 11:30:08:493',4,1023,0,0,0,1
349,'2023/06/09 11:30:08:502',4,1023,0,0,0,1
350,'2023/06/09 11:30:08:711',4,1023,0,0,0,1
351,'2023/06/09 11:30:08:711',4,1023,0,0,0,1
352,'2023/06/09 11:30:08:736',4,1023,0,0,0,1
353,'2023/06/09 11:30:08:737',4,1023,0,0,0,1
354,'2023/06/09 11:30:08:751',4,1023,0,0,0,1
355,'2023/06/09 11:30:08:759',4,1023,0,0,0,1
356,'2023/06/09 11:30:08:769',4,1023,0,0,0,1
357,'2023/06/09 11:30:08:977',4,1023,0,0,0,1
358,'2023/06/09 11:30:08:978',4,1023,0,0,0,1
359,'2023/06/09 11:30:08:993',4,1023,0,0,0,1
360,'2023/06/09 11:30:09:001',4,1023,0,0,0,1
361,'2023/06/09 11:30:09:010',4,1023,0,0,0,1
362,'2023/06/09 11:30:09:021',4,1023,0,0,0,1
363,'2023/06/09 11:30:09:028',4,1023,0,0,0,1
364,'2023/06/09 11:30:09:234',4,1023,0,0,0,1
365,'2023/06/09 11:30:09:235',4,1023,0,0,0,1
366,'2023/06/09 11:30:09:259',4,1023,0,0,0,1
367,'2023/06/09 11:30:09:260',4,1023,0,0,0,1
368,'2023/06/09 11:30:09:275',4,1023,0,0,0,1
369,'2023/06/09 11:30:09:283',4,1023,0,0,0,1
370,'2023/06/09 11:30:09:292',4,1023,0,0,0,1
371,'2023/06/09 11:30:09:501',4,1023,0,0,0,1
372,'2023/06/09 11:30:09:502',4,1023,0,0,0,1
373,'2023/06/09 11:30:09:513',4,1023,0,0,0,1
374,'2023/06/09 11:30:09:526',4,1023,0,0,0,1
375,'2023/06/09 11:30:09:534',4,1023,0,0,0,1
376,'2023/06/09 11:30:09:543',4,1023,0,0,0,1
377,'2023/06/09 11:30:09:553',4,1023,0,0,0,1
378,'2023/06/09 11:30:09:767',4,1023,0,0,0,1
379,'2023/06/09 11:30:09:768',4,1023,0,0,0,1
380,'2023/06/09 11:30:09:784',4,1023,0,0,0,1
381,'2023/06/09 11:30:09:792',4,1023,0,0,0,1
382,'2023/06/09 11:30:09:800',4,1023,0,0,0,1
383,'2023/06/09 11:30:09:812',4,1023,0,0,0,1
384,'2023/06/09 11:30:09:819',4,1023,0,0,0,1
385,'2023/06/09 11:30:10:033',4,1023,0,0,0,1
386,'2023/06/09 11:30:10:034',4,1023,0,0,0,1
387,'2023/06/09 11:30:10:050',4,1023,0,0,0,1
388,'2023/06/09 11:30:10:058',4,1023,0,0,0,1
389,'2023/06/09 11:30:10:066',4,1023,0,0,0,1
390,'2023/06/09 11:30:10:075',4,1023,0,0,0,1
391,'2023/06/09 11:30:10:085',4,1023,0,0,0,1
392,'2023/06/09 11:30:10:094',4,1023,0,0,0,1
393,'2023/06/09 11:30:10:299',4,1023,0,0,0,1
394,'2023/06/09 11:30:10:300',4,1023,0,0,0,1
395,'2023/06/09 11:30:10:316',4,1023,0,0,0,1
396,'2023/06/09 11:30:10:324',4,1023,0,0,0,1
397,'2023/06/09 11:30:10:332',4,1023,0,0,0,1
398,'2023/06/09 11:30:10:341',4,1023,0,0,0,1
399,'2023/06/09 11:30:10:352',4,1023,0,0,0,1
400,'2023/06/09 11:30:10:557',4,1023,0,0,0,1
401,'2023/06/09 11:30:10:558',4,1023,0,0,0,1
402,'2023/06/09 11:30:10:583',4,1023,0,0,0,1
403,'2023/06/09 11:30:10:583',4,1023,0,0,0,1
404,'2023/06/09 11:30:10:598',4,1023,0,0,0,1
405,'2023/06/09 11:30:10:607',4,1023,0,0,0,1
406,'2023/06/09 11:30:10:616',4,1023,0,0,0,1
407,'2023/06/09 11:30:10:824',4,1023,0,0,0,1
408,'2023/06/09 11:30:10:824',4,1023,0,0,0,1
409,'2023/06/09 11:30:10:840',4,1023,0,0,0,1
410,'2023/06/09 11:30:10:848',4,1023,0,0,0,1
411,'2023/06/09 11:30:10:856',4,1023,0,0,0,1
412,'2023/06/09 11:30:10:865',4,1023,0,0,0,1
413,'2023/06/09 11:30:10:881',4,1023,0,0,0,1
414,'2023/06/09 11:30:11:090',4,1023,0,0,0,1
415,'2023/06/09 11:30:11:090',4,1023,0,0,0,1
